Date,GCM,Deficit in, AET in, soil_water in, runoff in, rain in, accumswe in, PET in 
1979-01-01,gridmet.historical,0.0,0.043307086614173235,9.720472440944883,0.4133858267716536,0.4566929133858268,0.0,0.043307086614173235
1979-01-02,gridmet.historical,0.0,0.03543307086614173,9.720472440944883,0.9370078740157481,0.9724409448818898,0.0,0.03543307086614173
1979-01-03,gridmet.historical,0.0,0.007874015748031498,9.71259842519685,0.0,0.0,0.0,0.007874015748031498
1979-01-04,gridmet.historical,0.0,0.003937007874015749,9.708661417322835,0.0,0.0,0.0,0.003937007874015749
1979-01-05,gridmet.historical,0.0,0.0,9.716535433070867,0.0,0.007874015748031498,0.01968503937007874,0.0
1979-01-06,gridmet.historical,0.0,0.0,9.720472440944883,0.1377952755905512,0.14173228346456693,0.027559055118110236,0.0
1979-01-07,gridmet.historical,0.0,0.03543307086614173,9.720472440944883,0.46456692913385833,0.4724409448818898,0.0,0.03543307086614173
1979-01-08,gridmet.historical,0.0,0.03149606299212599,9.720472440944883,0.15354330708661418,0.18503937007874016,0.0,0.03149606299212599
1979-01-09,gridmet.historical,0.0,0.007874015748031498,9.708661417322835,0.0,0.0,0.0,0.007874015748031498
1979-01-10,gridmet.historical,0.0,0.011811023622047244,9.700787401574804,0.0,0.0,0.0,0.011811023622047244
1979-01-11,gridmet.historical,0.0,0.0,9.700787401574804,0.0,0.0,0.027559055118110236,0.0
1979-01-12,gridmet.historical,0.0,0.0,9.720472440944883,0.19291338582677167,0.21259842519685043,0.3503937007874016,0.0
1979-01-13,gridmet.historical,0.0,0.0,9.720472440944883,0.5748031496062992,0.24015748031496062,0.015748031496062995,0.0
1979-01-14,gridmet.historical,0.0,0.03149606299212599,9.700787401574804,0.0,0.0,0.0,0.03149606299212599
1979-01-15,gridmet.historical,0.0,0.011811023622047244,9.688976377952756,0.0,0.0,0.0,0.011811023622047244
1979-01-16,gridmet.historical,0.0,0.023622047244094488,9.665354330708661,0.0,0.0,0.0,0.023622047244094488
1979-01-17,gridmet.historical,0.0,0.023622047244094488,9.641732283464568,0.0,0.0,0.0,0.023622047244094488
1979-01-18,gridmet.historical,0.0,0.015748031496062995,9.625984251968504,0.0,0.0,0.0,0.015748031496062995
1979-01-19,gridmet.historical,0.0,0.0,9.625984251968504,0.0,0.0,0.06299212598425198,0.0
1979-01-20,gridmet.historical,0.0,0.0,9.720472440944883,0.9606299212598425,1.0551181102362206,0.28346456692913385,0.0
1979-01-21,gridmet.historical,0.0,0.047244094488188976,9.720472440944883,1.0433070866141734,0.8070866141732284,0.0,0.047244094488188976
1979-01-22,gridmet.historical,0.0,0.023622047244094488,9.696850393700789,0.0,0.0,0.0,0.023622047244094488
1979-01-23,gridmet.historical,0.0,0.023622047244094488,9.673228346456693,0.0,0.0,0.0,0.023622047244094488
1979-01-24,gridmet.historical,0.0,0.05118110236220473,9.720472440944883,0.594488188976378,0.6929133858267718,0.0,0.05118110236220473
1979-01-25,gridmet.historical,0.0,0.01968503937007874,9.696850393700789,0.0,0.0,0.0,0.01968503937007874
1979-01-26,gridmet.historical,0.0,0.023622047244094488,9.673228346456693,0.0,0.0,0.0,0.023622047244094488
1979-01-27,gridmet.historical,0.0,0.0,9.720472440944883,0.05905511811023623,0.10236220472440946,0.003937007874015749,0.0
1979-01-28,gridmet.historical,0.0,0.0,9.720472440944883,0.07086614173228346,0.07086614173228346,0.011811023622047244,0.0
1979-01-29,gridmet.historical,0.0,0.023622047244094488,9.708661417322835,0.0,0.0,0.0,0.023622047244094488
1979-01-30,gridmet.historical,0.0,0.01968503937007874,9.68503937007874,0.0,0.0,0.0,0.01968503937007874
1979-01-31,gridmet.historical,0.0,0.0,9.696850393700789,0.0,0.007874015748031498,0.01968503937007874,0.0
1979-02-01,gridmet.historical,0.0,0.0,9.70472440944882,0.0,0.0,0.011811023622047244,0.0
1979-02-02,gridmet.historical,0.0,0.0,9.70472440944882,0.0,0.0,0.011811023622047244,0.0
1979-02-03,gridmet.historical,0.0,0.0,9.70472440944882,0.0,0.0,0.011811023622047244,0.0
1979-02-04,gridmet.historical,0.0,0.027559055118110236,9.688976377952756,0.0,0.0,0.0,0.027559055118110236
1979-02-05,gridmet.historical,0.0,0.007874015748031498,9.681102362204726,0.0,0.0,0.0,0.007874015748031498
1979-02-06,gridmet.historical,0.0,0.0,9.681102362204726,0.0,0.0,0.0984251968503937,0.0
1979-02-07,gridmet.historical,0.0,0.0,9.720472440944883,0.015748031496062995,0.05511811023622047,0.673228346456693,0.0
1979-02-08,gridmet.historical,0.0,0.0,9.720472440944883,0.0,0.0,0.7204724409448819,0.0
1979-02-09,gridmet.historical,0.0,0.0,9.720472440944883,0.0,0.0,0.7204724409448819,0.0
1979-02-10,gridmet.historical,0.0,0.0,9.720472440944883,0.0,0.0,0.7204724409448819,0.0
1979-02-11,gridmet.historical,0.0,0.0,9.720472440944883,0.0,0.0,0.7716535433070867,0.0
1979-02-12,gridmet.historical,0.0,0.0,9.720472440944883,0.0905511811023622,0.023622047244094488,0.7086614173228347,0.0
1979-02-13,gridmet.historical,0.0,0.0,9.720472440944883,0.0,0.0,0.7086614173228347,0.0
1979-02-14,gridmet.historical,0.0,0.0,9.720472440944883,0.0,0.0,0.7086614173228347,0.0
1979-02-15,gridmet.historical,0.0,0.0,9.720472440944883,0.42519685039370086,0.015748031496062995,0.2992125984251969,0.0
1979-02-16,gridmet.historical,0.0,0.01968503937007874,9.720472440944883,0.2755905511811024,0.0,0.0,0.01968503937007874
